id,longitud,latitud
3840,-3.6883232754856,40.4305018691825
3841,-3.68725610305613,40.4305239406404
3842,-3.6917268449043,40.4221320929972
3843,-3.69192878230734,40.4214333442836
3844,-3.68846965033102,40.4337820578943
3845,-3.69099128548591,40.4235122547331
3846,-3.69840321012929,40.4281637727028
3847,-3.69455644132333,40.4287906721949
3848,-3.69418654145027,40.426924977219
3849,-3.69656106746327,40.4268814072712
3850,-3.69252547121172,40.4260039466159
7029,-3.69078016561876,40.4242200932479
10034,-3.69203250238828,40.4233361722719
3851,-3.68994760550778,40.4273048117337
10036,-3.69392090223793,40.4237223062949
3562,-3.68859456595845,40.4325205220297
3854,-3.69646351117965,40.4254530561641
3855,-3.6977531922756,40.4251261715913
3852,-3.69017286011812,40.4260050979408
7026,-3.69074248190305,40.424210771059
7011,-3.69037359172057,40.42552784045
7030,-3.69066453201281,40.4247407578891
7032,-3.69005690467226,40.4252285841949
3856,-3.6692020015623,40.4194437232749
3857,-3.66927431858336,40.4173151329465
3858,-3.66937623268909,40.4175226308701
3859,-3.6705342712968,40.4179138650649
3860,-3.66924937368468,40.417053366339
3861,-3.67017564469836,40.4164918275874
3862,-3.66952096952619,40.4137106378472
3863,-3.66925975752156,40.4128884344966
3864,-3.66983282251457,40.4126190208272
3865,-3.6697788959473,40.4125466960086
3866,-3.67072662430569,40.4113750123116
3867,-3.67008404835215,40.4090229063809
4191,-3.66994418768707,40.4090282329257
3868,-3.66970072999548,40.4084479196954
3869,-3.67001525473829,40.4079206919529
4192,-3.67014910996911,40.4082588713038
4193,-3.66796577755009,40.4066663598498
3870,-3.66796677493739,40.4065811540916
3871,-3.66910191795128,40.4055176793072
3872,-3.67138662227996,40.4049401151625
3873,-3.67223153180805,40.4068168808879
3874,-3.67225012184094,40.4068928364419
3875,-3.66716121793365,40.4175270529398
3876,-3.66710886124979,40.4174633695798
10983,-3.67025925573906,40.4114426539658
3563,-3.66582248894019,40.418489635536
3724,-3.66553052325625,40.4182560354179
3725,-3.66626493705795,40.4179263999555
3564,-3.66231143210601,40.4213917167171
3878,-3.66251064925266,40.4210783834393
3726,-3.66885929593868,40.4114339630309
3601,-3.66886805288672,40.411370961016
10984,-3.66435540358008,40.4110788929684
3880,-3.66261608533599,40.4109746466864
3881,-3.66409515870888,40.41033065808
3602,-3.66478873994961,40.4110395838851
3603,-3.66950851839627,40.4161205654423
3882,-3.66944537991919,40.4146746011953
3883,-3.66967366560014,40.4141290529476
3884,-3.66968363390644,40.4117087996568
3885,-3.66992872182153,40.4110621827942
3886,-3.66984019831238,40.4099851789427
3887,-3.66122920186577,40.42149148168
3891,-3.68192608293403,40.4047158645819
3892,-3.68197660548277,40.4046406617078
3893,-3.68041242054745,40.4051137262048
3894,-3.68003856144582,40.4039657074876
5072,-3.67410995065939,40.4021694013855
5073,-3.67340419755466,40.4005175358456
5074,-3.67590051416533,40.4017727525398
3895,-3.67235624440697,40.399884307485
3896,-3.67196447607973,40.3990323925113
3897,-3.68148563267219,40.4034278359937
3898,-3.68131598239669,40.4036119088063
3899,-3.67580327025719,40.4072803424337
3900,-3.67765683057019,40.406805612646
3901,-3.67945914318253,40.4064547257422
5080,-3.68156868856319,40.4070244774342
3902,-3.67442457051572,40.4071387587621
3903,-3.6728816331012,40.4034113411648
3904,-3.67335559943841,40.4033554308912
3905,-3.67151156866803,40.405020521856
3906,-3.67158465052807,40.4039496769114
3433,-3.67253866154829,40.40360812981
3907,-3.6731264634121,40.4046267223858
3908,-3.67577145627602,40.4059825603449
9981,-3.66355541004404,40.4210502923046
9980,-3.66007925290257,40.4215309069548
9979,-3.66008683391468,40.4214815644893
10810,-3.67415946921979,40.4021830215176
10888,-3.66700128692637,40.4175695265945
3888,-3.67056185456231,40.4067693859042
3889,-3.66975090388689,40.4065835768393
7035,-3.66933764625351,40.4179059117179
7034,-3.67025344719361,40.4180493075217
10024,-3.66979396599779,40.4064416774022
7036,-3.67259898157179,40.4036596788905
9841,-3.72741223289441,40.4724836145478
9843,-3.73023428407734,40.4724715878338
9842,-3.72778303343639,40.4716837848057
3909,-3.68012872841603,40.4516187766054
3910,-3.67570449112669,40.4516655881381
3911,-3.67768229804357,40.4501704343801
3460,-3.66736231209613,40.4530371255116
3461,-3.6684267354175,40.4523920358728
3912,-3.66649623232636,40.4523827851162
3913,-3.67745115195773,40.453104617895
3914,-3.67676064970623,40.4516185756358
3915,-3.67770082714543,40.4508872358566
3916,-3.67860097177425,40.451633619947
3917,-3.67822463792592,40.4516966964374
3918,-3.66727709353987,40.4530809619693
3919,-3.66647243580769,40.4522742940713
3920,-3.66753269239041,40.4514273265209
3921,-3.66388979236326,40.4530078353819
3922,-3.66548952151846,40.45200131359
3923,-3.67803440238758,40.44691477766
3924,-3.6801890307997,40.4477284292019
3925,-3.68376159061497,40.4456759385189
3926,-3.68009432398302,40.4517117756717
3927,-3.67873635540665,40.4486472731229
3928,-3.68263165269247,40.4459847815258
3604,-3.67754754828595,40.4487934912412
3605,-3.66659062361282,40.4548919566392
