index,year,week,daypart,is_holiday,intensity,occupation,congestion,avg_noise,p01,p10,p50,p90,p99,bariometric_pressure,precipitation,relative_humidity,solar_radiation,temperature,uv_radiation,wind_direction,wind_speed,benzene,carbon_monoxide,ethylbenzene,methane,nitrogen_dioxide,nitrogen_monoxide,nitrogen_oxides,non_methane_hydrocarbons,ozone,particles_lt_10,particles_lt_2_5,sulphur_dioxide,toluene,total_hydrocarbons,month,year_month
0,2019,1,0,0,424.85688638478194,10.316239447240834,28.221974912769515,63.22816455696202,70.4125,65.23117088607594,60.703955696202534,56.221518987341774,52.49018987341773,954.5294117647059,0.0004219409282700422,53.88454376163873,206.79661016949152,8.353149606299212,7.214285714285714,135.14044943820224,0.7167977528089888,1.151685393258427,0.6692825112107623,1.000561797752809,1.7161016949152543,75.48878205128206,90.36378205128206,214.01442307692307,0.15728813559322036,11.727218683651806,33.18217054263566,20.944444444444443,15.890577507598785,4.3269662921348315,1.8715254237288137,1,2019-01
1,2019,1,0,1,262.10260129245825,6.155198899659476,17.26038944926928,61.03636363636364,68.44545454545455,63.50909090909091,58.29090909090909,51.84848484848485,47.54545454545455,955.7361111111111,0.0,44.94135802469136,215.875,8.262962962962963,7.583333333333333,139.05555555555554,0.6762962962962964,1.0157407407407408,0.6090277777777778,0.5009259259259259,1.8030555555555554,68.62121212121212,64.29292929292929,167.13636363636363,0.16305555555555556,15.77170138888889,29.470149253731343,22.61111111111111,16.78240740740741,3.011111111111111,1.9661111111111111,1,2019-01
2,2019,1,1,0,101.22758743165907,2.1314501565843873,6.472509415941339,56.407547169811316,65.8811320754717,59.66226415094339,51.471698113207545,45.26603773584905,42.64150943396226,954.4375,0.0,72.79166666666667,2.0,2.9276162790697673,0.5,121.775,0.5819166666666666,1.0525,0.5434210526315789,0.8875,1.69875,53.676886792452834,53.06367924528302,135.03301886792454,0.13475,8.224875,23.49112426035503,17.822916666666668,11.696428571428571,3.3800000000000003,1.831,1,2019-01
3,2019,1,1,1,173.43332611046907,3.641584493370131,10.959476887249593,61.61212121212122,70.75757575757575,63.03030303030303,55.02727272727273,48.584848484848486,45.43636363636364,956.0,0.0,67.91203703703704,2.0,1.7583333333333333,0.5,138.875,0.5709722222222222,1.6098591549295773,0.6817708333333333,0.8708333333333333,1.9054166666666665,69.39393939393939,85.32954545454545,200.21969696969697,0.24791666666666667,5.11625,43.03370786516854,28.270833333333332,14.534722222222221,5.116666666666666,2.15375,1,2019-01
4,2019,1,2,0,398.94564371007533,10.403826091830915,27.41984416372904,63.13175355450237,70.21943127962086,64.83080568720379,60.173459715639815,54.87061611374408,51.05308056872038,954.675,0.0,64.98882681564245,2.0,6.917441860465116,0.5,160.91666666666666,0.5296666666666667,2.06,1.2741721854304635,1.8716666666666666,1.8725,119.2132701421801,208.4218009478673,438.7535545023697,0.2505,2.801194968553459,52.85227272727273,28.375,18.928571428571427,8.943333333333333,2.1225,1,2019-01
5,2019,1,2,1,333.03904769316466,7.597406252028981,21.90977770367972,62.28484848484849,68.89090909090909,63.94242424242424,59.32424242424243,54.75151515151515,51.30909090909091,955.2916666666666,0.0,52.388888888888886,2.0,6.821296296296297,0.5,146.05555555555554,0.5483333333333333,2.1638888888888888,1.2145833333333333,1.1972222222222222,1.92,119.67424242424242,174.40151515151516,387.0530303030303,0.30583333333333335,4.663125,44.78260869565217,26.375,22.694444444444443,6.791666666666667,2.223333333333333,1,2019-01
6,2019,2,0,0,514.0015617756452,12.327595580129328,33.47703412317348,63.28636363636363,70.45227272727273,65.44545454545454,61.179545454545455,57.11590909090909,53.87045454545454,949.09375,0.0010416666666666667,44.863425925925924,222.65625,7.477546296296297,7.552083333333333,132.44444444444446,1.2048611111111112,0.9291970802919708,0.5643229166666667,0.6262773722627737,1.688695652173913,73.08445297504798,79.08637236084454,194.32053742802304,0.14717391304347827,24.182062663185377,26.830409356725145,12.833333333333334,17.34722222222222,3.692700729927007,1.8358695652173913,1,2019-01
7,2019,2,0,1,312.1611114760325,6.922300391512937,20.150538288387647,60.99696969696969,68.26363636363637,63.56363636363636,58.71818181818182,52.95151515151515,48.46666666666666,953.0,0.0,47.69135802469136,220.79166666666666,7.616975308641976,7.930555555555555,155.09259259259258,0.7803703703703704,0.8231481481481482,0.528125,0.42685185185185187,1.7255555555555555,64.24242424242425,51.73232323232323,143.57070707070707,0.14666666666666667,21.17892361111111,22.26388888888889,15.277777777777779,16.208333333333332,2.531481481481481,1.8719444444444444,1,2019-01
8,2019,2,1,0,99.9012425086384,2.087618250865241,6.268011663542219,56.26590909090908,65.925,59.779545454545456,50.61590909090909,44.413636363636364,41.75,949.078125,0.0,57.510416666666664,2.0,2.5256944444444445,0.5,130.38541666666666,0.7025,0.6302083333333334,0.380078125,0.4614583333333333,1.6840625,50.33238636363637,31.386363636363637,98.40625,0.1134375,20.17671875,15.4,7.796875,13.234375,2.5020833333333337,1.79625,1,2019-01
9,2019,2,1,1,142.26751438334594,2.8753281782328615,8.88840278842881,57.06969696969697,65.86363636363636,60.35151515151516,53.06363636363636,46.775757575757574,43.800000000000004,953.2708333333334,0.0,63.5787037037037,2.0,1.5449074074074074,0.5,123.75,0.5841666666666667,1.1930555555555555,0.5442708333333334,0.675,1.8025,70.03030303030303,63.234848484848484,167.06060606060606,0.22583333333333333,6.2519270833333325,25.135416666666668,15.833333333333334,12.972222222222221,4.262499999999999,2.026666666666667,1,2019-01
